t,T
0.0,3093.26841
1.199040767e-06,3093.26841
2.636507509e-06,3093.26841
4.357488452e-06,3093.263314
6.422665583e-06,3093.244796
8.890552255e-06,3093.218195
1.18490429e-05,3093.187971
1.538636868e-05,3093.152702
1.960040026e-05,3093.111166
2.465723815e-05,3093.062048
3.067423513e-05,3093.00444
3.789463152e-05,3092.936213
4.645213834e-05,3092.856226
5.653097971e-05,3092.762623
6.851662891e-05,3092.651018
8.289940794e-05,3092.514373
9.958343163e-05,3092.348143
0.00011960426,3092.130028
0.0001433789938,3091.832977
0.0001708113789,3091.425298
0.000203730241,3090.82757
0.0002407639609,3090.010642
0.0002839699674,3088.86819
0.0003271759739,3087.554684
0.0003703819804,3086.09333
0.000413587987,3084.508155
0.0004567939935,3082.821702
0.0005,3081.053875
0.00055,3078.924433
0.00060625,3076.451134
0.000671875,3073.492346
0.0007375,3070.483646
0.000803125,3067.441301
0.00086875,3064.37659
0.000934375,3061.297303
0.001,3058.208804
0.001071428571,3054.840711
0.001157142857,3050.794419
0.001242857143,3046.747244
0.001328571429,3042.701341
0.001414285714,3038.658107
0.0015,3034.61851
0.0016,3029.910941
0.0017,3025.209967
0.0018,3020.516287
0.0019,3015.830406
0.002,3011.152784
0.0021,3006.483814
0.0022,3001.823878
0.0023,2997.173324
0.0024,2992.532491
0.0025,2987.901698
0.0026,2983.281257
0.0027,2978.671464
0.0028,2974.072609
0.0029,2969.48497
0.003,2964.908817
0.0031,2960.344407
0.0032,2955.791989
0.0033,2951.251803
0.0034,2946.72408
0.0035,2942.209035
0.0036,2937.706878
0.0037,2933.217801
0.0038,2928.741987
0.0039,2924.279604
0.004,2919.830809
0.0041,2915.395744
0.0042,2910.974535
0.0043,2906.567266
0.0044,2902.173957
0.0045,2897.794675
0.0046,2893.429678
0.0047,2889.079359
0.0048,2884.744051
0.0049,2880.423999
0.005,2876.11946
0.0051,2871.83066
0.0052,2867.557809
0.0053,2863.301097
0.0054,2859.060708
0.0055,2854.836815
0.0056,2850.629583
0.0057,2846.439173
0.0058,2842.26574
0.0059,2838.109435
0.006,2833.970403
0.0061,2829.848785
0.0062,2825.744718
0.0063,2821.658335
0.0064,2817.589763
0.0065,2813.539126
0.0066,2809.506545
0.0067,2805.492133
0.0068,2801.496004
0.0069,2797.518263
0.007,2793.559015
0.0071,2789.618358
0.0072,2785.696377
0.0073,2781.792948
0.0074,2777.907254
0.0075,2774.038406
0.0076,2770.185594
0.0077,2766.348111
0.0078,2762.525451
0.0079,2758.7173
0.008,2754.923478
0.0081,2751.144005
0.0082,2747.379518
0.0083,2743.631473
0.0084,2739.900594
0.0085,2736.187576
0.0086,2732.49294
0.0087,2728.817095
0.0088,2725.160308
0.0089,2721.522788
0.009,2717.904668
0.0091,2714.30606
0.0092,2710.727039
0.0093,2707.167673
0.0094,2703.628012
0.0095,2700.108104
0.0096,2696.607986
0.0097,2693.127694
0.0098,2689.667257
0.0099,2686.226704
0.01,2682.806057
0.0101,2679.405337
0.0102,2676.02456
0.0103,2672.663742
0.0104,2669.322893
0.0105,2666.002023
0.0106,2662.701136
0.0107,2659.420235
0.0108,2656.159321
0.0109,2652.918391
0.011,2649.697439
0.0111,2646.496459
0.0112,2643.315438
0.0113,2640.154366
0.0114,2637.013224
0.0115,2633.891997
0.0116,2630.790662
0.0117,2627.709198
0.0118,2624.647579
0.0119,2621.605778
0.012,2618.583764
0.0121,2615.581507
0.0122,2612.598971
0.0123,2609.63612
0.0124,2606.692915
0.0125,2603.769317
0.0126,2600.865283
0.0127,2597.980767
0.0128,2595.115725
0.0129,2592.270108
0.013,2589.443866
0.0131,2586.636947
0.0132,2583.849298
0.0133,2581.080863
0.0134,2578.331585
0.0135,2575.601407
0.0136,2572.890267
0.0137,2570.198104
0.0138,2567.524855
0.0139,2564.870456
0.014,2562.23484
0.0141,2559.617941
0.0142,2557.019689
0.0143,2554.440014
0.0144,2551.878847
0.0145,2549.336113
0.0146,2546.811741
0.0147,2544.305655
0.0148,2541.81778
0.0149,2539.348039
0.015,2536.896357
0.0151,2534.462655
0.0152,2532.046857
0.0153,2529.648885
0.0154,2527.268661
0.0155,2524.906106
0.0156,2522.561142
0.0157,2520.233691
0.0158,2517.923673
0.0159,2515.631005
0.016,2513.35554
0.0161,2511.096935
0.0162,2508.854743
0.0163,2506.628476
0.0164,2504.417636
0.0165,2502.221781
0.0166,2500.040616
0.0167,2497.873949
0.0168,2495.721674
0.0169,2493.583767
0.017,2491.460385
0.0171,2489.352053
0.0172,2487.259069
0.0173,2485.18165
0.0174,2483.119941
0.0175,2481.074028
0.0176,2479.043938
0.0177,2477.029662
0.0178,2475.031159
0.0179,2473.048373
0.018,2471.081235
0.0181,2469.129669
0.0182,2467.193593
0.0183,2465.272926
0.0184,2463.36758
0.0185,2461.47747
0.0186,2459.602508
0.0187,2457.742607
0.0188,2455.897677
