t,T
0.000498,382.6462343
0.000998,455.5835825
0.001498,522.3121714
0.001998,585.3997324
0.002498,645.9215782
0.002998,703.7407047
0.003498,758.0488859
0.003998,807.9683696
0.004498,851.5506813
0.004998,904.5736351
0.005498,956.8159778
0.005998,1007.552043
0.006498,1056.775058
0.006998,1104.481799
0.007498,1137.90495
0.007998,1156.885568
0.008498,1198.52636
0.008998,1241.698505
0.009498,1283.544484
0.009998,1324.05476
0.010498,1363.223322
0.010998,1401.046719
0.011498,1437.526857
0.011998,1472.671522
0.012498,1506.491264
0.012998,1539.005558
0.013498,1570.234275
0.013998,1600.203113
0.014498,1628.941419
0.014998,1656.487291
0.015498,1682.909936
0.015998,1707.713536
0.016498,1726.607548
0.016998,1746.499491
0.017498,1769.199038
0.017998,1790.910157
0.018498,1811.718847
0.018998,1831.654694
0.019498,1850.748746
0.019998,1869.029885
0.020498,1886.527426
0.020998,1903.270241
0.021498,1919.285954
0.021998,1934.602016
0.022498,1949.245554
0.022998,1962.382016
0.023498,1967.734963
0.023998,1971.162565
0.024498,1973.865627
0.024998,1976.151721
0.025498,1978.156587
0.025998,1979.954574
0.026498,1981.665701
0.026998,1983.38569
0.027498,1985.115803
0.027998,1986.857379
0.028498,1988.611903
0.028998,1990.381021
0.029498,1992.166572
0.029998,1993.970624
0.030498,1995.795516
0.030998,1997.643908
0.031498,1999.71382
0.031998,2008.013949
0.032498,2016.101612
0.032998,2023.847226
0.033498,2031.264601
0.033998,2038.367017
0.034498,2045.167316
0.034998,2051.677922
0.035498,2057.910687
0.035998,2063.877019
0.036498,2069.587896
0.036998,2075.053881
0.037498,2080.285133
0.037998,2085.291469
0.038498,2090.082309
0.038998,2094.666663
0.039498,2099.053187
0.039998,2103.250216
0.040498,2107.265772
0.040998,2111.107513
0.041498,2114.782791
0.041998,2118.298663
0.042498,2121.661897
0.042998,2124.87899
0.043498,2127.956171
0.043998,2130.899418
0.044498,2133.714458
0.044998,2136.406787
0.045498,2138.981669
0.045998,2141.444155
0.046498,2143.799098
0.046998,2146.051131
0.047498,2148.204691
0.047998,2150.26403
0.048498,2152.233222
0.048998,2154.116168
0.049498,2155.916604
0.049998,2157.638108
