t,T
0,299.9
10,299.901
20,299.902
30,299.902
40,299.903
50,299.903
60,299.904
70,299.904
80,299.904
90,299.905
100,299.905
110,299.905
120,299.906
130,299.906
140,299.906
150,299.906
160,299.907
170,299.907
180,299.907
190,299.907
200,299.908
210,299.908
220,299.908
230,299.908
240,299.909
250,299.909
260,299.909
270,299.909
280,299.909
290,299.91
300,299.91
310,299.91
320,299.91
330,299.911
340,299.911
350,299.911
360,299.911
370,299.911
380,299.912
390,299.912
400,299.912
410,299.912
420,299.913
430,299.913
440,299.913
450,299.913
460,299.913
470,299.914
480,299.914
490,299.914
500,299.914
510,299.915
520,299.915
530,299.915
540,299.915
550,299.916
560,299.916
570,299.916
580,299.916
590,299.916
600,299.917
610,299.917
620,299.917
630,299.917
640,299.918
650,299.918
660,299.918
670,299.918
680,299.918
690,299.919
700,299.919
710,299.919
720,299.919
730,299.92
740,299.92
750,299.92
760,299.92
770,299.92
780,299.921
790,299.921
800,299.921
810,299.921
820,299.922
830,299.922
840,299.922
850,299.922
860,299.922
870,299.923
880,299.923
890,299.923
900,299.923
910,299.923
920,299.924
930,299.924
940,299.924
950,299.924
960,299.925
970,299.925
980,299.925
990,299.925
1000,299.925
1010,299.926
1020,299.926
1030,299.926
1040,299.926
1050,299.926
1060,299.927
1070,299.927
1080,299.927
1090,299.927
1100,299.927
1110,299.928
1120,299.928
1130,299.928
1140,299.928
1150,299.928
1160,299.929
1170,299.929
1180,299.929
1190,299.929
1200,299.929
1210,299.929
1220,299.93
1230,299.93
1240,299.93
1250,299.93
1260,299.93
1270,299.931
1280,299.931
1290,299.931
1300,299.931
1310,299.931
1320,299.932
1330,299.932
1340,299.932
1350,299.932
1360,299.932
1370,299.932
1380,299.933
1390,299.933
1400,299.933
1410,299.933
1420,299.933
1430,299.933
1440,299.934
1450,299.934
1460,299.934
1470,299.934
1480,299.934
1490,299.935
1500,299.935
1510,299.935
1520,299.935
1530,299.935
1540,299.935
1550,299.936
1560,299.936
1570,299.936
1580,299.936
1590,299.936
1600,299.936
1610,299.937
1620,299.937
1630,299.937
1640,299.937
1650,299.937
1660,299.937
1670,299.938
1680,299.938
1690,299.938
1700,299.938
1710,299.938
1720,299.938
1730,299.938
1740,299.939
1750,299.939
1760,299.939
1770,299.939
1780,299.939
1790,299.939
1800,299.94
1810,299.94
1820,299.94
1830,299.94
1840,299.94
1850,299.94
1860,299.94
1870,299.941
1880,299.941
1890,299.941
1900,299.941
1910,299.941
1920,299.941
1930,299.942
1940,299.942
1950,299.942
1960,299.942
1970,299.942
1980,299.942
1990,299.942
2000,299.943
2010,299.943
2020,299.943
2030,299.943
2040,299.943
2050,299.943
2060,299.943
2070,299.944
2080,299.944
2090,299.944
2100,299.944
2110,299.944
2120,299.944
2130,299.944
2140,299.944
2150,299.945
2160,299.945
2170,299.945
2180,299.945
2190,299.945
2200,299.945
2210,299.945
2220,299.946
2230,299.946
2240,299.946
2250,299.946
2260,299.946
2270,299.946
2280,299.946
2290,299.947
2300,299.947
2310,299.947
2320,299.947
2330,299.947
2340,299.947
2350,299.947
2360,299.947
2370,299.948
2380,299.948
2390,299.948
2400,299.948
2410,299.948
2420,299.948
2430,299.948
2440,299.948
2450,299.949
2460,299.949
2470,299.949
2480,299.949
2490,299.949
2500,299.949
2510,299.949
2520,299.949
2530,299.95
2540,299.95
2550,299.95
2560,299.95
2570,299.95
2580,299.95
2590,299.95
2600,299.95
2610,299.951
2620,299.951
2630,299.951
2640,299.951
2650,299.951
2660,299.951
2670,299.951
2680,299.951
2690,299.951
2700,299.952
2710,299.952
2720,299.952
2730,299.952
2740,299.952
2750,299.952
2760,299.952
2770,299.952
2780,299.952
2790,299.953
2800,299.953
2810,299.953
2820,299.953
2830,299.953
2840,299.953
2850,299.953
2860,299.953
2870,299.953
2880,299.954
2890,299.954
2900,299.954
2910,299.954
2920,299.954
2930,299.954
2940,299.954
2950,299.954
2960,299.954
2970,299.955
2980,299.955
2990,299.955
3000,299.955
3010,299.955
3020,299.955
3030,299.955
3040,299.955
3050,299.955
3060,299.956
3070,299.956
3080,299.956
3090,299.956
3100,299.956
3110,299.956
3120,299.956
3130,299.956
3140,299.956
3150,299.956
3160,299.957
3170,299.957
3180,299.957
3190,299.957
3200,299.957
3210,299.957
3220,299.957
3230,299.957
3240,299.957
3250,299.957
3260,299.958
3270,299.958
3280,299.958
3290,299.958
3300,299.958
3310,299.958
3320,299.958
3330,299.958
3340,299.958
3350,299.958
3360,299.959
3370,299.959
3380,299.959
3390,299.959
3400,299.959
3410,299.959
3420,299.959
3430,299.959
3440,299.959
3450,299.959
3460,299.96
3470,299.96
3480,299.96
3490,299.96
3500,299.96
3510,299.96
3520,299.96
